State,Voter Turnout,Total Ballots,Year,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
United States,55.3,107390107,2000,194331436,210623408,7.7,1377013,2339388,536039,3082746
Alabama,,,2000,3241682,3334576,1.5,26225,40178,5484,51798
Alaska,68.7,287825,2000,419111,440296,3.4,4173,4779,525,7088
Arizona,46.4,1559520,2000,3357701,3816498,10.3,26510,59810,3474,59889
Arkansas,,,2000,1925961,2001774,2.3,11915,28409,8659,34779
California,56.6,11142843,2000,19685258,24867252,18.8,163001,0,117647,280648
Colorado,,,2000,3026316,3246521,6.7,16833,0,5500,22333
Connecticut,62.5,1474103,2000,2357687,2575243,6.6,18355,47636,1868,44041
Delaware,,,2000,554863,594256,3.9,6921,20052,579,17526
District of Columbia,,,2000,416696,458301,10.2,7456,0,0,7456
Florida,57.5,6138765,2000,10667193,12475387,10.4,71319,296139,5982,225371
Georgia,47.6,2684951,2000,5639668,6087332,5.9,44232,321407,21556,226492
Hawaii,44.6,371113,2000,832642,923737,8.1,5053,0,0,5053
Idaho,58.9,516647,2000,877406,935443,3.8,5535,35103,1409,24496
Illinois,58.5,4932192,2000,8432600,9208908,8.7,45281,0,0,45281
Indiana,50.8,2246003,2000,4424909,4527523,2.3,20125,0,0,20125
Iowa,,,2000,2082950,2199529,2.4,7955,21147,2763,21292
Kansas,56.7,1092716,2000,1927950,1983933,3.9,8344,0,3829,12173
Kentucky,53.1,1568058,2000,2955628,3059582,1.5,14919,19620,4614,29343
Louisiana,56.7,1776133,2000,3130267,3260060,1.6,35207,35854,22860,75994
Maine,,,2000,969292,979314,1.5,0,0,0,0
Maryland,55.8,2036455,2000,3649631,3972224,6.4,23538,81523,13666,77966
Massachusetts,60.6,2736006,2000,4517052,4870470,8.0,0,0,0,0
Michigan,60.5,4279299,2000,7070702,7370524,3.3,47718,0,0,47718
Minnesota,70.1,2458303,2000,3506432,3662005,3.7,6238,115906,3072,67263
Mississippi,,,2000,2024650,2076861,1.0,20241,15118,1596,29396
Missouri,,,2000,4052255,4190073,1.8,27382,53299,12563,66595
